date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:40	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:22%20GMT	https://comfycool.in/robots.txt		(from )
14:45:41	85644/85644	---M-Z	200	added ('OK')	text/html	etag:%2214e8c-608a9a80-56991462decc39d5;gz%22	https://comfycool.in/	D:/comfycool/comfycool.in/index.html	(from )
14:45:41	1425/1425	---M--	200	added ('OK')	image/jpeg	etag:%22591-60804b56-5ab6d0af21c54427;;;%22	https://comfycool.in/images/favicon.jpg	D:/comfycool/comfycool.in/images/favicon.jpg	(from https://comfycool.in/)
14:45:41	140895/140895	---M-Z	200	added ('OK')	text/css	etag:%222265f-602b6f4e-6aca97f24528cd0d;gz%22	https://comfycool.in/css/bootstrap.min.css	D:/comfycool/comfycool.in/css/bootstrap.min.css	(from https://comfycool.in/)
14:45:41	55939/55939	---M-Z	200	added ('OK')	text/css	etag:%22da83-602b6f4c-48db377831ac8096;gz%22	https://comfycool.in/css/animate.css	D:/comfycool/comfycool.in/css/animate.css	(from https://comfycool.in/)
14:45:41	6995/6995	---M-Z	200	added ('OK')	text/css	etag:%221b53-602b6f50-22d64c2178756b08;gz%22	https://comfycool.in/css/owl.carousel.css	D:/comfycool/comfycool.in/css/owl.carousel.css	(from https://comfycool.in/)
14:45:42	30618/30618	---M-Z	200	added ('OK')	text/css	etag:%22779a-602b6f50-2fed4b953aa62af2;gz%22	https://comfycool.in/css/font-awesome.css	D:/comfycool/comfycool.in/css/font-awesome.css	(from https://comfycool.in/)
14:45:42	13882/13882	---M-Z	200	added ('OK')	text/css	etag:%22363a-602b6f52-2b5a20131c047878;gz%22	https://comfycool.in/css/themify-icons.css	D:/comfycool/comfycool.in/css/themify-icons.css	(from https://comfycool.in/)
14:45:42	3318/3318	---M-Z	200	added ('OK')	text/css	etag:%22cf6-602b6f4e-43499bef089de3ed;gz%22	https://comfycool.in/css/flaticon.css	D:/comfycool/comfycool.in/css/flaticon.css	(from https://comfycool.in/)
14:45:42	104069/104069	---M-Z	200	added ('OK')	text/css	etag:%2219685-607feea2-c93042df5e2641e7;gz%22	https://comfycool.in/revolution/css/layers.css	D:/comfycool/comfycool.in/revolution/css/layers.css	(from https://comfycool.in/)
14:45:43	24838/24838	---M-Z	200	added ('OK')	text/css	etag:%226106-602b6ffa-d1ff9cc5df465757;gz%22	https://comfycool.in/revolution/css/settings.css	D:/comfycool/comfycool.in/revolution/css/settings.css	(from https://comfycool.in/)
14:45:43	19714/19714	---M-Z	200	added ('OK')	text/css	etag:%224d02-602b6f50-f5d784571d7e8469;gz%22	https://comfycool.in/css/prettyPhoto.css	D:/comfycool/comfycool.in/css/prettyPhoto.css	(from https://comfycool.in/)
14:45:43	73587/73587	---M-Z	200	added ('OK')	text/css	etag:%2211f73-607feea2-7f1a6107c68490e9;gz%22	https://comfycool.in/css/shortcodes.css	D:/comfycool/comfycool.in/css/shortcodes.css	(from https://comfycool.in/)
